Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,28166,272,13000.0,13119.410952274782,281.05916699860245,35127.91483401088,84089.21877440886,74.83622003128971,0.7226958690801251,13000,13000,13000,14000,14000,15000,22000,26000,31000,33000,35000
,Aggregated,28166,272,13000.0,13119.410952274782,281.05916699860245,35127.91483401088,84089.21877440886,74.83622003128971,0.7226958690801251,13000,13000,13000,14000,14000,15000,22000,26000,31000,33000,35000
